employee_id,hours_logged,billable_hours
EMP0566,6.4,5.25
EMP0658,6.51,1.63
EMP0740,6.38,5.23
EMP0263,9.3,7.63
EMP0650,9.67,7.93
EMP0748,6.49,5.32
EMP0747,6.07,4.98
EMP0074,8.15,6.68
EMP0387,6.52,5.35
EMP0643,8.41,2.1
EMP0143,7.72,6.33
EMP0557,4.97,4.08
EMP0025,9.88,8.1
EMP0174,10.27,8.42
EMP0183,6.42,5.26
EMP0107,6.78,5.56
EMP0152,7.86,1.97
EMP0331,7.94,1.99
EMP0822,8.45,6.93
EMP0733,10.62,8.71
EMP0372,7.12,1.78
EMP0565,6.12,5.02
EMP0027,5.19,4.26
EMP0375,6.23,5.11
EMP0541,7.35,6.03
EMP0658,10.27,2.57
EMP0514,6.57,5.39
EMP0634,7.76,6.36
EMP0669,7.37,6.04
EMP0372,9.3,7.63
EMP0207,11.44,9.38
EMP0096,6.55,1.64
EMP0720,6.62,5.43
EMP0601,9.07,7.44
EMP0670,8.49,2.12
EMP0298,10.35,8.49
EMP0077,8.33,6.83
EMP0097,6.83,5.6
EMP0791,8.35,2.09
EMP0373,9.17,7.52
EMP0699,8.71,7.14
EMP0159,8.21,6.73
EMP0478,9.11,2.28
EMP0337,9.27,7.6
EMP0160,9.61,7.88
EMP0219,8.44,6.92
EMP0415,7.13,5.85
EMP0439,7.63,6.26
EMP0710,9.33,7.65
EMP0332,6.09,4.99
EMP0740,7.99,2.0
EMP0714,6.77,5.55
EMP0017,7.45,1.86
EMP0437,9.45,7.75
EMP0292,7.71,6.32
EMP0666,7.47,1.87
EMP0596,5.22,4.28
EMP0360,8.59,7.04
EMP0275,8.43,6.91
EMP0810,10.86,8.91
EMP0198,6.91,5.67
EMP0326,7.75,6.35
EMP0163,7.8,6.4
EMP0586,9.92,2.48
EMP0199,7.25,1.81
EMP0594,7.85,6.44
EMP0371,8.37,6.86
EMP0322,7.7,6.31
EMP0352,6.69,1.67
EMP0549,7.71,1.93
EMP0086,9.12,7.48
EMP0829,5.76,1.44
EMP0598,7.61,6.24
EMP0638,6.28,5.15
EMP0524,9.31,7.63
EMP0185,4.96,1.24
EMP0327,6.51,1.63
EMP0617,8.0,6.56
EMP0432,9.9,8.12
EMP0128,7.29,5.98
EMP0292,6.51,5.34
EMP0741,10.41,8.54
EMP0714,5.08,4.17
EMP0108,3.88,0.97
EMP0054,8.1,6.64
EMP0598,6.6,5.41
EMP0126,5.77,4.73
EMP0271,8.53,6.99
EMP0218,7.79,6.39
EMP0779,6.5,5.33
EMP0208,5.35,4.39
EMP0110,8.8,7.22
EMP0564,8.44,6.92
EMP0051,7.24,1.81
EMP0532,10.35,8.49
EMP0068,5.69,4.67
EMP0211,4.96,4.07
EMP0757,6.29,5.16
EMP0486,7.33,6.01
EMP0598,7.79,6.39
EMP0172,7.01,5.75
EMP0374,7.96,6.53
EMP0703,5.4,4.43
EMP0759,9.71,7.96
EMP0540,7.27,5.96
EMP0594,9.19,7.54
EMP0511,7.95,6.52
EMP0067,8.13,6.67
EMP0677,8.31,6.81
EMP0278,8.12,6.66
EMP0409,8.43,2.11
EMP0787,9.53,7.81
EMP0385,7.71,6.32
EMP0478,8.53,6.99
EMP0595,7.26,5.95
EMP0007,9.7,7.95
EMP0842,6.32,5.18
EMP0210,10.28,2.57
EMP0007,7.34,6.02
EMP0107,5.11,4.19
EMP0267,7.6,6.23
EMP0524,6.31,5.17
EMP0396,8.75,7.17
EMP0035,6.36,5.22
EMP0010,6.69,1.67
EMP0156,4.38,1.09
EMP0661,6.68,1.67
EMP0715,3.52,0.88
EMP0099,4.87,3.99
EMP0746,8.62,2.15
EMP0647,8.66,7.1
EMP0503,8.08,6.63
EMP0645,5.85,4.8
EMP0699,7.32,6.0
EMP0450,7.39,6.06
EMP0053,5.55,4.55
EMP0162,9.81,2.45
EMP0715,8.8,7.22
EMP0210,7.05,1.76
EMP0073,7.44,1.86
EMP0509,7.73,6.34
EMP0793,4.13,3.39
EMP0129,7.0,5.74
EMP0448,6.31,5.17
EMP0738,5.8,4.76
EMP0133,6.95,5.7
EMP0455,10.28,2.57
EMP0107,8.43,6.91
EMP0760,6.49,5.32
EMP0022,8.32,6.82
EMP0020,9.64,7.9
EMP0555,8.88,7.28
EMP0744,7.5,6.15
EMP0475,6.36,1.59
EMP0288,8.52,6.99
EMP0276,8.03,2.01
EMP0474,8.83,7.24
EMP0082,8.42,2.1
EMP0646,9.08,7.45
EMP0325,6.54,1.64
EMP0736,9.51,7.8
EMP0381,7.72,6.33
EMP0384,10.72,8.79
EMP0217,6.3,1.57
EMP0673,10.18,2.54
EMP0646,7.72,1.93
EMP0452,6.36,5.22
EMP0767,6.63,5.44
EMP0670,6.89,5.65
EMP0599,8.08,6.63
EMP0648,8.24,6.76
EMP0035,6.48,5.31
EMP0714,7.36,1.84
EMP0047,10.83,2.71
EMP0188,10.16,8.33
EMP0521,8.1,2.02
EMP0437,7.46,6.12
EMP0532,7.59,6.22
EMP0174,8.38,2.1
EMP0773,5.76,4.72
EMP0209,6.99,5.73
EMP0443,4.7 hrs,3.88
EMP0077,8.04,2.01
EMP0444,8.44,2.11
EMP0141,6.63,5.44
EMP0135,9.92,8.13
EMP0214,5.44,4.46
EMP0185,5.06,4.15
EMP0099,7.76,1.94
EMP0181,9.08,7.45
EMP0704,10.09,8.27
EMP0326,6.67,5.47
EMP0839,9.13,7.49
EMP0338,7.34,1.83
EMP0671,7.12,5.84
EMP0383,8.81,7.22
EMP0811,8.44,6.92
EMP0672,4.88,4.0
EMP0016,9.76,2.44
EMP0525,9.61,7.88
EMP0228,6.4,5.25
EMP0782,8.03,6.58
EMP0659,8.19,6.72
EMP0145,7.82,6.41
EMP0759,6.52,5.35
EMP0559,6.33,1.58
EMP0436,7.36,6.04
EMP0435,9.28,7.61
EMP0446,8.27,6.78
EMP0210,6.81,1.7
EMP0537,8.63,7.08
EMP0711,2.84,2.33
EMP0354,9.24,2.31
EMP0786,4.62,1.16
EMP0270,6.82,5.59
EMP0631,5.61,4.6
EMP0487,5.33,4.37
EMP0779,9.26,2.31
EMP0620,6.65,1.66
EMP0124,7.95,6.52
EMP0632,7.32,6.0
EMP0601,8.16,6.69
EMP0491,7.52,1.88
EMP0648,5.35,4.39
EMP0731,8.99,2.25
EMP0100,6.61,1.65
EMP0740,4.91,4.03
EMP0747,6.72,5.51
EMP0281,9.8,8.04
EMP0187,8.76,7.18
EMP0084,6.84,5.61
EMP0389,6.84,5.61
EMP0715,6.89,5.65
EMP0600,10.72,2.68
EMP0717,8.01,6.57
EMP0530,8.09,6.63
EMP0719,9.05,7.42
EMP0167,7.78,6.38
EMP0250,6.99,5.73
EMP0437,7.09,5.81
EMP0582,7.29,5.98
EMP0472,7.34,6.02
EMP0251,8.56,2.14
EMP0218,7.48,6.13
EMP0792,8.57,7.03
EMP0228,7.27,1.82
EMP0236,7.53,6.17
EMP0319,4.2,3.44
EMP0477,8.87,7.27
EMP0520,7.95,6.52
EMP0760,9.0,7.38
EMP0435,2.77,2.27
EMP0833,10.74,8.81
EMP0379,7.18,5.89
EMP0458,9.17,7.52
EMP0548,5.74,1.44
EMP0846,8.38,6.87
EMP0525,5.71,1.43
EMP0120,6.4,5.25
EMP0485,10.46,8.58
EMP0292,7.09,5.81
EMP0227,7.75,6.35
EMP0610,8.79,7.21
EMP0511,8.19,6.72
EMP0354,7.64,1.91
EMP0640,7.98,6.54
EMP0385,11.25,9.22
EMP0786,7.31,5.99
EMP0704,7.72,6.33
EMP0182,9.08,7.45
EMP0429,9.17,7.52
EMP0419,9.3,7.63
EMP0399,8.42,6.9
EMP0136,5.57,4.57
EMP0513,10.01,8.21
EMP0034,5.57,4.57
EMP0733,7.88,1.97
EMP0410,6.19,5.08
EMP0423,7.3,5.99
EMP0727,7.93,1.98
EMP0609,7.91,6.49
EMP0163,8.08,6.63
EMP0300,9.98,8.18
EMP0521,8.13,6.67
EMP0388,7.01,5.75
EMP0317,8.94,7.33
EMP0654,9.3,7.63
EMP0278,5.44,4.46
EMP0263,8.36,2.09
EMP0094,8.52,6.99
EMP0101,6.92,5.67
EMP0604,9.6,7.87
EMP0826,7.16,1.79
EMP0495,7.6,1.9
EMP0641,7.12,1.78
EMP0068,7.42,6.08
EMP0315,5.65,4.63
EMP0161,5.1,1.27
EMP0799,9.95,2.49
EMP0323,6.04,4.95
EMP0825,5.81,1.45
EMP0330,3.95,3.24
EMP0249,6.38,1.59
EMP0287,5.28,4.33
EMP0138,10.03,2.51
EMP0091,9.02,7.4
EMP0791,6.3,1.57
EMP0480,11.0,9.02
EMP0658,8.97,7.36
EMP0448,6.88,5.64
EMP0095,3.4,0.85
EMP0786,11.07,9.08
EMP0664,5.18,4.25
EMP0007,4.77,3.91
EMP0469,9.04,7.41
EMP0212,11.3,9.27
EMP0323,9.61,7.88
EMP0451,8.3,6.81
EMP0790,8.35,6.85
EMP0124,8.77,7.19
EMP0521,8.61,7.06
EMP0445,7.85,6.44
EMP0663,7.57,6.21
EMP0063,7.3,5.99
EMP0156,6.19,5.08
EMP0637,6.95,1.74
EMP0387,4.69,3.85
EMP0426,7.24,5.94
EMP0553,5.82,4.77
EMP0133,5.63,4.62
EMP0190,7.69,6.31
EMP0384,9.63,7.9
EMP0650,8.87,7.27
EMP0463,4.89,4.01
EMP0262,5.82,1.46
EMP0437,8.91,2.23
EMP0356,5.83,4.78
EMP0228,7.04,1.76
EMP0372,8.28,6.79
EMP0770,5.85,1.46
EMP0432,7.57,6.21
EMP0752,5.27,1.32
EMP0662,6.44,5.28
EMP0744,7.91,6.49
EMP0537,4.85,3.98
EMP0073,8.1,2.02
EMP0727,7.37,1.84
EMP0507,8.28,6.79
EMP0521,7.76,6.36
EMP0227,9.58,7.86
EMP0532,7.6,6.23
EMP0370,6.71,5.5
EMP0588,7.6,1.9
EMP0646,8.27,6.78
EMP0255,7.48,1.87
EMP0664,7.46,1.86
EMP0758,6.28,5.15
EMP0208,6.34,5.2
EMP0596,5.16,4.23
EMP0096,10.2,2.55
EMP0395,5.41,4.44
EMP0281,6.29,5.16
EMP0304,6.25,5.12
EMP0532,8.83,7.24
EMP0241,6.93,5.68
EMP0099,9.4,2.35
EMP0477,6.32,5.18
EMP0573,7.85,6.44
EMP0259,6.06,4.97
EMP0714,10.83,8.88
EMP0007,5.5,1.38
EMP0166,7.9,1.98
EMP0092,8.41,6.9
EMP0319,8.06,6.61
EMP0463,7.1,5.82
EMP0013,7.19,5.9
EMP0636,7.47,1.87
EMP0724,7.16,5.87
EMP0358,8.94,7.33
EMP0562,10.94,2.73
EMP0043,6.51,1.63
EMP0680,5.21,1.3
EMP0329,7.26,1.81
EMP0107,11.53,9.45
EMP0043,6.11,5.01
EMP0029,10.02,8.22
EMP0183,10.08,8.27
EMP0732,6.51,5.34
EMP0247,8.31,2.08
EMP0253,10.01,8.21
EMP0707,6.79,5.57
EMP0642,7.07,5.8
EMP0811,6.47,5.31
EMP0550,5.78,4.74
EMP0206,6.36,1.59
EMP0826,5.44,4.46
EMP0787,7.45,6.11
EMP0660,6.17,5.06
EMP0452,7.77,6.37
EMP0531,4.91,4.03
EMP0391,7.93,6.5
EMP0076,8.73,7.16
EMP0244,4.21,3.45
EMP0230,8.0,6.56
EMP0825,9.36,7.68
EMP0416,5.46,4.48
EMP0741,10.08,8.27
EMP0562,8.07,6.62
EMP0053,6.27,5.14
EMP0582,7.31,5.99
EMP0325,8.29,6.8
EMP0100,7.52,6.17
EMP0315,8.26,6.77
EMP0104,5.93,4.86
EMP0644,7.67,1.92
EMP0139,5.14,4.21
EMP0187,7.22,1.8
EMP0640,5.95,4.88
EMP0729,6.22,5.1
EMP0526,9.38,7.69
EMP0460,9.15,7.5
EMP0640,8.37,6.86
EMP0385,5.65,4.63
EMP0501,6.89,5.65
EMP0831,9.34,7.66
EMP0014,7.63,6.26
EMP0125,11.11,9.11
EMP0239,8.03,2.01
EMP0724,7.71,6.32
EMP0203,6.91,5.67
EMP0775,7.61,6.24
EMP0754,7.16,5.87
EMP0062,8.53,6.99
EMP0790,8.93,7.32
EMP0831,6.14,5.03
EMP0708,5.27,4.32
EMP0157,4.46,3.66
EMP0015,8.21,6.73
EMP0346,5.63,4.62
EMP0742,3.96,3.25
EMP0489,8.02,6.58
EMP0646,11.39,9.34
EMP0579,7.39,6.06
EMP0569,8.74,2.19
EMP0608,7.53,6.17
EMP0639,7.24,1.81
EMP0797,8.87,2.22
EMP0845,6.94,1.74
EMP0620,7.83,1.96
EMP0839,7.91,6.49
EMP0795,6.33,5.19
EMP0724,8.99,7.37
EMP0146,7.12,1.78
EMP0580,6.19,5.08
EMP0536,8.26,6.77
EMP0064,5.96,4.89
EMP0782,7.45,6.11
EMP0044,7.39,1.85
EMP0784,9.1 hrs,7.49
EMP0597,8.16,6.69
EMP0550,7.36,1.84
EMP0201,8.71,7.14
EMP0210,9.62,7.89
EMP0691,8.29,6.8
EMP0318,7.42,6.08
EMP0772,5.3,4.35
EMP0001,5.7,4.67
EMP0100,6.91,5.67
EMP0789,6.42,5.26
EMP0179,7.1,5.82
EMP0577,7.49,1.87
EMP0423,8.25,6.76
EMP0822,7.29,5.98
EMP0573,8.18,2.04
EMP0558,7.5,6.15
EMP0595,4.24,3.48
EMP0369,5.9,4.84
EMP0352,7.17,5.88
EMP0406,5.46,4.48
EMP0233,8.36,6.86
EMP0591,9.85,8.08
EMP0820,9.35,7.67
EMP0099,7.06,5.79
EMP0122,9.79,8.03
EMP0604,7.64,6.26
EMP0485,6.86,1.72
EMP0040,6.42,5.26
EMP0768,6.92,5.67
EMP0098,6.78,5.56
EMP0714,7.67,6.29
EMP0463,7.66,6.28
EMP0256,7.4,1.85
EMP0598,8.1,2.02
EMP0025,9.31,7.63
EMP0429,8.92,7.31
EMP0520,5.02,4.12
EMP0270,3.31,0.83
EMP0137,8.89,7.29
EMP0311,5.21,1.3
EMP0398,7.04,5.77
EMP0580,5.53,4.53
EMP0044,4.52,3.71
EMP0630,8.27,6.78
EMP0032,8.61,2.15
EMP0476,6.48,5.31
EMP0776,3.25,2.67
EMP0502,6.53,1.63
EMP0321,8.03,2.01
EMP0613,5.03,4.12
EMP0703,7.7 hrs,1.92
EMP0253,7.38,1.84
EMP0278,8.33,2.08
EMP0069,7.59,1.9
EMP0273,5.84,4.79
EMP0371,9.31,7.63
EMP0041,7.15,5.86
EMP0634,7.36,1.84
EMP0826,5.91,1.48
EMP0253,6.69,5.49
EMP0316,5.98,4.9
EMP0154,7.12,1.78
