project_id,total_allocated_hours,employee_count
PRJ0001,3782.0,33
PRJ0002,3575.2,35
PRJ0003,4939.0,44
PRJ0004,4052.4,35
PRJ0005,4438.7,35
PRJ0006,4876.4,46
PRJ0007,3974.1,34
PRJ0008,3878.9,33
PRJ0009,3673.3,32
PRJ0010,5319.4,45
PRJ0011,4901.8,42
PRJ0012,3723.2999999999997,32
PRJ0013,4257.5,38
PRJ0014,4925.3,43
PRJ0015,4702.6,38
PRJ0016,5141.4,45
PRJ0017,5683.8,48
PRJ0018,5719.5,46
PRJ0019,4025.2,35
PRJ0020,3654.2,29
PRJ0021,4384.3,40
PRJ0022,3628.9,34
PRJ0023,5090.2,46
PRJ0024,5480.9,50
PRJ0025,4463.3,39
PRJ0026,4788.6,44
PRJ0027,4566.0,41
PRJ0028,4585.6,39
PRJ0029,5523.0,47
PRJ0030,4176.9,39
PRJ0031,4619.9,40
PRJ0032,6465.3,53
PRJ0033,3918.3,35
PRJ0034,4338.3,36
PRJ0035,4922.7,43
PRJ0036,5103.2,43
PRJ0037,3887.1,39
PRJ0038,4347.3,39
PRJ0039,4130.0,35
PRJ0040,3956.4,36
PRJ0041,4745.4,40
PRJ0042,5402.7,46
PRJ0043,5149.8,45
PRJ0044,3678.7,33
PRJ0045,4892.1,39
PRJ0046,5677.1,50
PRJ0047,4195.9,37
PRJ0048,4006.6000000000004,31
PRJ0049,4217.6,36
PRJ0050,4946.9,43
PRJ0051,3514.7,31
PRJ0052,4816.5,37
PRJ0053,4876.6,43
PRJ0054,5303.9,45
PRJ0055,6928.3,55
PRJ0056,4510.8,40
PRJ0057,4843.8,41
PRJ0058,4088.0,35
PRJ0059,5062.7,46
PRJ0060,6141.3,51
PRJ0061,6201.5,49
PRJ0062,6434.2,52
PRJ0063,5862.8,47
PRJ0064,5722.6,47
PRJ0065,4929.4,46
PRJ0066,5889.5,47
PRJ0067,3792.0,33
PRJ0068,4435.4,40
PRJ0069,3599.3,32
PRJ0070,3626.1,32
PRJ0071,4769.8,43
PRJ0072,3750.8,33
PRJ0073,3687.6,34
PRJ0074,5163.5,43
PRJ0075,4626.2,44
PRJ0076,5856.4,45
PRJ0077,3369.7,32
PRJ0078,5101.6,44
PRJ0079,5177.1,49
PRJ0080,5283.5,47
PRJ0081,3920.8,30
PRJ0082,5361.8,44
PRJ0083,3752.3,31
PRJ0084,3975.7999999999997,35
PRJ0085,4207.9,35
PRJ0086,4773.1,40
PRJ0087,2817.6,24
PRJ0088,3640.5,37
PRJ0089,4761.8,40
PRJ0090,5339.8,43
PRJ0091,4993.9,42
PRJ0092,5265.6,43
PRJ0093,3852.9,38
PRJ0094,4739.6,46
PRJ0095,5256.7,45
PRJ0096,3762.3,36
PRJ0097,4982.4,42
PRJ0098,4638.2,39
PRJ0099,4620.0,39
PRJ0100,3823.9,34
PRJ0101,4587.0,38
PRJ0102,3649.0,32
PRJ0103,3531.8,34
PRJ0104,4771.2,41
PRJ0105,4324.8,35
PRJ0106,3386.1,30
PRJ0107,5582.5,52
PRJ0108,4183.9,34
PRJ0109,4361.6,36
PRJ0110,5560.9,48
PRJ0111,4632.0,38
PRJ0112,4959.5,42
PRJ0113,4704.1,37
PRJ0114,4578.6,39
PRJ0115,5279.7,47
PRJ0116,3591.8,31
PRJ0117,5326.8,48
PRJ0118,4482.8,40
PRJ0119,5533.7,48
PRJ0120,4789.0,43
PRJ0121,4513.6,41
PRJ0122,4790.5,36
PRJ0123,5016.4,44
PRJ0124,4076.4,36
PRJ0125,5749.4,47
PRJ0126,3354.4,32
PRJ0127,4837.5,42
PRJ0128,3926.8,33
PRJ0129,5523.9,45
PRJ0130,3954.4,38
PRJ0131,4751.2,41
PRJ0132,4937.1,43
PRJ0133,4575.4,42
PRJ0134,2975.9,24
PRJ0135,5985.4,51
PRJ0136,3805.6,35
PRJ0137,4748.3,42
PRJ0138,4399.400000000001,40
PRJ0139,5238.8,44
PRJ0140,3108.5,29
PRJ0141,4462.0,37
PRJ0142,5146.6,45
PRJ0143,4040.2,35
PRJ0144,4121.8,35
PRJ0145,3517.6,31
PRJ0146,4094.2000000000003,39
PRJ0147,3573.4,34
PRJ0148,5327.8,46
PRJ0149,3857.2,34
PRJ0150,4339.6,40
PRJ0151,5055.1,44
PRJ0152,4062.2000000000003,33
PRJ0153,4821.2,39
PRJ0154,3871.9,30
PRJ0155,5896.7,47
PRJ0156,4726.6,41
PRJ0157,4823.2,38
PRJ0158,4727.2,45
PRJ0159,3607.8,34
PRJ0160,4691.4,40
PRJ0161,5434.7,46
PRJ0162,5183.6,45
PRJ0163,4266.3,38
PRJ0164,4687.9,39
PRJ0165,3079.0,28
PRJ0166,4729.3,41
PRJ0167,5744.2,52
PRJ0168,3737.3,32
PRJ0169,2766.0,24
PRJ0170,4549.8,37
PRJ0171,4917.9,42
PRJ0172,5524.7,47
PRJ0173,3770.9,34
PRJ0174,5147.9,41
PRJ0175,4809.2,42
PRJ0176,5311.4,46
PRJ0177,3773.6,32
PRJ0178,3934.5,33
PRJ0179,4645.3,43
PRJ0180,3603.6,33
PRJ9999,1702.7,14
