task_category,total_hours,total_billable,entry_count,utilization_rate
Administration,23568.28,5892.14,3186,25.0
Analysis,46853.45,11713.9,6321,25.0
Bug Fixing,58545.7,48006.34,7910,82.0
Client Meeting,29900.25,24517.92,4015,82.0
Deployment,29577.74,24253.28,3998,82.0
Design,29295.55,24022.13,3970,82.0
Development,148477.61,121749.6,20110,82.0
Documentation,34925.06,8731.54,4731,25.0
Support,47553.55,38992.81,6433,82.0
Testing,59855.05,49080.46,8068,82.0
Training,23393.71,5848.87,3155,25.0
administration,391.37,97.86,52,25.0
analysis,1262.18,315.54,171,25.0
bug fixing,1626.97,1334.12,220,82.0
client meeting,658.24,539.76,87,82.0
deployment,796.43,653.08,106,82.0
design,780.13,639.73,105,82.0
development,3928.63,3221.35,539,82.0
documentation,811.45,202.87,111,25.0
support,1175.52,963.87,159,82.0
testing,1623.8,1331.52,217,82.0
training,598.17,149.55,81,25.0
